userid,segment,cell,timestamp,done,doneTime
ER14121,3,2,1/8/14 17:09,TRUE,1/8/14 17:09
ER14122,3,3,1/8/14 17:18,TRUE,1/8/14 17:18
ER14123,2,4,1/8/14 17:42,TRUE,1/8/14 17:42
ER14124,1,4,1/8/14 17:51,TRUE,1/8/14 17:51
12412421313,0,0,1/8/14 17:54,,1/8/14 17:54
12313,0,0,1/8/14 18:55,TRUE,1/8/14 18:55
ER14125,4,3,1/8/14 19:02,TRUE,1/8/14 19:02
ER14128,3,4,1/8/14 19:46,TRUE,1/8/14 19:46
ER14129,2,3,1/9/14 7:26,TRUE,1/9/14 7:26
moj106,3,3,1/9/14 11:13,,1/9/14 11:13
moj104,3,3,1/9/14 10:18,,1/9/14 10:18
moj103,3,3,1/9/14 10:06,,1/9/14 10:06
moj102,3,3,1/9/14 9:53,TRUE,1/9/14 9:53
moj101,3,3,1/9/14 9:48,TRUE,1/9/14 9:48
moj107,3,3,1/9/14 11:40,,1/9/14 11:40
moj108,3,3,1/9/14 11:41,,1/9/14 11:41
moj109,3,3,1/9/14 11:57,,1/9/14 11:57
moj1010,3,3,1/9/14 12:08,,1/9/14 12:08
moj1011,3,3,1/9/14 12:16,,1/9/14 12:16
ER14130,2,1,1/9/14 17:22,,1/9/14 17:22
ER14131,2,4,1/9/14 17:30,TRUE,1/9/14 17:30
ER14132,4,1,1/9/14 17:33,,1/9/14 17:33
ER14133,4,1,1/9/14 17:37,,1/9/14 17:37
ER14134,4,4,1/9/14 17:39,,1/9/14 17:39
ER14135,2,1,1/9/14 17:49,,1/9/14 17:49
ER14136,3,3,1/9/14 17:51,,1/9/14 17:51
moj1022,2,1,1/9/14 19:53,,1/9/14 19:53
moj10,2,1,1/9/14 19:59,,1/9/14 19:59
moj1033,2,1,1/9/14 23:47,,1/9/14 23:47
ER14137,4,1,1/10/14 8:06,TRUE,1/10/14 8:06
GM14001,1,4,1/10/14 13:06,TRUE,1/10/14 13:06
GM14002,2,4,1/10/14 13:26,TRUE,1/10/14 13:26
GM14003,1,2,1/10/14 13:43,TRUE,1/10/14 13:43
GM14004,1,1,1/11/14 0:11,TRUE,1/11/14 0:11
GM14005,1,2,1/11/14 0:28,TRUE,1/11/14 0:28
GM14006,1,1,1/11/14 0:58,TRUE,1/11/14 0:58
ER14021,3,1,1/12/14 9:42,TRUE,1/12/14 9:42
FF14003,3,4,1/12/14 16:41,TRUE,1/12/14 16:41
ER14062,3,1,1/12/14 18:31,TRUE,1/12/14 18:31
GM14007,1,2,1/12/14 22:51,TRUE,1/12/14 22:51
GM14008,1,1,1/12/14 23:15,TRUE,1/12/14 23:15
GM14009,1,2,1/12/14 23:44,TRUE,1/12/14 23:44
GM14010,2,3,1/13/14 0:03,TRUE,1/13/14 0:03
GM14011,3,2,1/13/14 0:19,TRUE,1/13/14 0:19
GM14012,4,2,1/13/14 0:46,TRUE,1/13/14 0:46
GM14014,1,3,1/13/14 1:12,TRUE,1/13/14 1:12
GM14018,3,4,1/13/14 3:37,TRUE,1/13/14 3:37
FF14009,1,4,1/13/14 5:21,TRUE,1/13/14 5:21
FF14011,1,2,1/13/14 6:38,TRUE,1/13/14 6:38
GO14001,2,4,1/13/14 11:36,TRUE,1/13/14 11:36
GO14110,4,3,1/13/14 13:49,TRUE,1/13/14 13:49
FF14004,4,2,1/13/14 14:59,,1/13/14 14:59
2223423324324420000,2,3,1/13/14 16:54,,1/13/14 16:54
2223423422013,2,3,1/14/14 3:14,,1/14/14 3:14
ER14146,4,3,1/18/14 9:22,TRUE,1/18/14 9:22
FF14170,4,1,1/19/14 6:23,TRUE,1/19/14 6:23
FF14174,2,1,1/19/14 8:52,TRUE,1/19/14 8:52
FF14177,2,3,1/19/14 9:29,TRUE,1/19/14 9:29
CINTNL3150000,1,3,1/19/14 18:13,,1/19/14 18:13
