userID,stimID,starttime,stoptime,users_stimuli_startstopID,enforceStatus
ER14121,0,1/8/14 17:04,1/8/14 17:09,1,none
ER14121,0,1/8/14 17:05,1/8/14 17:09,2,hard
ER14121,0,1/8/14 17:06,1/8/14 17:09,3,hard
ER14122,1,1/8/14 17:12,1/8/14 17:14,4,none
ER14122,1,1/8/14 17:12,1/8/14 17:14,5,hard
ER14123,1,1/8/14 17:27,1/8/14 17:29,6,none
ER14123,0,1/8/14 17:29,1/8/14 17:31,7,none
ER14124,1,1/8/14 17:45,1/8/14 17:48,8,none
ER14124,0,1/8/14 17:49,1/8/14 17:50,9,none
ER14125,1,1/8/14 19:00,1/8/14 19:02,10,none
ER14125,1,1/8/14 19:00,1/8/14 19:02,11,hard
ER14125,1,1/8/14 19:01,1/8/14 19:02,12,hard
ER14128,1,1/8/14 19:33,1/8/14 19:35,13,none
ER14128,0,1/8/14 19:36,1/8/14 19:46,14,none
ER14128,0,1/8/14 19:44,1/8/14 19:46,15,none
ER14129,1,1/9/14 7:24,1/9/14 7:26,16,none
moj103,1,1/9/14 10:06,1/9/14 10:09,23,none
moj102,1,1/9/14 9:50,1/9/14 9:53,22,none
moj101,1,1/9/14 9:45,1/9/14 9:48,21,none
moj104,1,1/9/14 10:19,1/9/14 10:22,24,none
moj104,1,1/9/14 10:19,1/9/14 10:22,25,hard
moj106,1,1/9/14 11:13,1/9/14 11:16,26,none
moj108,1,1/9/14 11:41,1/9/14 11:45,27,none
moj108,1,1/9/14 11:42,1/9/14 11:45,28,none
moj108,1,1/9/14 11:42,1/9/14 11:45,29,hard
moj109,1,1/9/14 11:57,1/9/14 11:59,30,none
moj1010,1,1/9/14 12:08,1/9/14 12:13,31,none
moj1010,1,1/9/14 12:11,1/9/14 12:13,32,hard
moj1011,1,1/9/14 12:17,1/9/14 12:20,33,hard
moj1011,1,1/9/14 12:18,1/9/14 12:20,34,hard
ER14130,2,1/9/14 17:23,1/9/14 17:23,35,none
ER14131,0,1/9/14 17:27,1/9/14 17:28,36,hard
ER14131,1,1/9/14 17:28,1/9/14 17:30,37,none
ER14134,1,1/9/14 17:39,1/9/14 17:44,38,hard
ER14134,1,1/9/14 17:41,1/9/14 17:44,39,hard
ER14134,1,1/9/14 17:41,1/9/14 17:44,40,hard
ER14134,1,1/9/14 17:43,1/9/14 17:44,41,hard
ER14136,1,1/9/14 17:51,1/9/14 17:53,42,hard
ER14136,1,1/9/14 17:53,0000-00-00 00:00:00,43,hard
moj10,2,1/9/14 19:59,0000-00-00 00:00:00,44,none
moj1033,2,1/9/14 23:47,0000-00-00 00:00:00,45,none
ER14137,2,1/10/14 8:05,1/10/14 8:06,46,none
ER14137,2,1/10/14 8:06,1/10/14 8:06,47,hard
GM14001,0,1/10/14 13:02,1/10/14 13:03,48,none
GM14001,1,1/10/14 13:03,1/10/14 13:06,49,none
GM14002,1,1/10/14 13:20,1/10/14 13:24,50,none
GM14002,1,1/10/14 13:23,1/10/14 13:24,51,hard
GM14002,1,1/10/14 13:23,1/10/14 13:24,52,hard
GM14002,0,1/10/14 13:25,1/10/14 13:26,53,none
GM14003,0,1/10/14 13:41,1/10/14 13:43,54,none
GM14004,2,1/11/14 0:10,1/11/14 0:11,55,none
GM14005,0,1/11/14 0:26,1/11/14 0:28,56,none
GM14005,0,1/11/14 0:27,1/11/14 0:28,57,hard
GM14006,2,1/11/14 0:52,1/11/14 0:58,58,none
GM14006,2,1/11/14 0:53,1/11/14 0:58,59,soft
ER14021,2,1/12/14 9:41,1/12/14 9:42,60,none
FF14003,0,1/12/14 16:29,1/12/14 16:37,61,none
FF14003,0,1/12/14 16:30,1/12/14 16:37,62,hard
FF14003,0,1/12/14 16:30,1/12/14 16:37,63,hard
FF14003,0,1/12/14 16:30,1/12/14 16:37,64,hard
FF14003,0,1/12/14 16:35,1/12/14 16:37,65,hard
FF14003,1,1/12/14 16:39,1/12/14 16:41,66,none
ER14062,2,1/12/14 18:31,1/12/14 18:31,67,none
GM14007,0,1/12/14 22:50,1/12/14 22:51,68,none
GM14008,2,1/12/14 23:14,1/12/14 23:15,69,none
GM14008,2,1/12/14 23:14,1/12/14 23:15,70,hard
GM14009,0,1/12/14 23:42,1/12/14 23:44,71,none
GM14009,0,1/12/14 23:43,1/12/14 23:44,72,hard
GM14010,1,1/12/14 23:59,1/13/14 0:03,73,none
GM14010,1,1/13/14 0:00,1/13/14 0:03,74,hard
GM14010,1,1/13/14 0:01,1/13/14 0:03,75,hard
GM14011,0,1/13/14 0:17,1/13/14 0:19,76,none
GM14011,0,1/13/14 0:18,1/13/14 0:19,77,hard
GM14012,0,1/13/14 0:43,1/13/14 0:46,78,none
GM14012,0,1/13/14 0:44,1/13/14 0:46,79,hard
GM14014,1,1/13/14 1:09,1/13/14 1:12,80,none
GM14014,1,1/13/14 1:10,1/13/14 1:12,81,hard
GM14018,0,1/13/14 3:33,1/13/14 3:35,82,none
GM14018,1,1/13/14 3:35,1/13/14 3:37,83,none
FF14009,1,1/13/14 4:44,1/13/14 5:18,84,none
FF14009,1,1/13/14 4:51,1/13/14 5:18,85,hard
FF14009,1,1/13/14 5:15,1/13/14 5:18,86,hard
FF14009,1,1/13/14 5:16,1/13/14 5:18,87,hard
FF14009,1,1/13/14 5:17,1/13/14 5:18,88,hard
FF14009,0,1/13/14 5:19,1/13/14 5:21,89,none
FF14011,0,1/13/14 6:36,1/13/14 6:38,90,none
GO14001,0,1/13/14 11:30,1/13/14 11:31,91,none
GO14001,1,1/13/14 11:32,1/13/14 11:36,92,none
GO14001,1,1/13/14 11:33,1/13/14 11:36,93,hard
GO14001,1,1/13/14 11:34,1/13/14 11:36,94,hard
GO14001,1,1/13/14 11:34,1/13/14 11:36,95,hard
GO14110,1,1/13/14 13:45,1/13/14 13:49,96,none
GO14110,1,1/13/14 13:47,1/13/14 13:49,97,hard
FF14004,0,1/13/14 14:59,1/13/14 15:01,98,none
FF14004,0,1/13/14 15:00,1/13/14 15:01,99,hard
FF14004,0,1/13/14 15:01,1/13/14 15:01,100,hard
FF14004,0,1/13/14 15:01,1/13/14 15:01,101,hard
FF14004,0,1/13/14 15:01,0000-00-00 00:00:00,102,hard
ER14146,1,1/18/14 9:19,1/18/14 9:22,103,none
FF14170,2,1/19/14 6:22,1/19/14 6:23,104,none
FF14170,2,1/19/14 6:22,1/19/14 6:23,105,soft
FF14174,2,1/19/14 8:51,1/19/14 8:52,106,none
FF14177,1,1/19/14 9:24,1/19/14 9:29,107,none
FF14177,1,1/19/14 9:27,1/19/14 9:29,108,hard
